Name,Age,Gender,Educational Background,Physical Traits,Personality Traits,Creative Expression,Problem Solving,LeaderShip and Managment,Communication ,Helping Others,Hard Skills,Soft Skills,Preffred Work mode,Comfortable with Technology (1-5),Stress Tolerance (1-5),Open to Relocation (Yes/No),Preferred Work Environment,Certifications (Yes/No),Predicted Career,Predicted Degree,Predicted University,
George,21,Male,Diploma,Active,"Adventurous, Assertive, Practical",Photography,Engineering,Organizational Strategy  ,Journalism  ,Healthcare,Project Management,Communication,On-site,2,5,Yes,Outdoor,Yes,Social Worker,BA Social Work,NUST,
Bob,22,Other,Matric,Moderately Active,"Analytical, Creative, Empathetic",Design,Physics,Finance  ,Public Relations  ,Non-profit Work,Graphic Design,Teamwork,On-site,5,2,No,Indoor,Yes,Graphic Designer,BA Graphic Design,QAU Islamabad,
Alice,22,Other,FSc,Moderately Active,"Detail-Oriented, Creative, Adventurous",Design,Engineering,Marketing and Branding  ,Social Media Management  ,Healthcare,Project Management,Teamwork,Hybrid,5,2,No,No preference,Yes,Photographer,Diploma Photography,UET Lahore,
George,20,Male,FSc,Sedentary,"Adventurous, Patient, Empathetic",Design,Engineering,Business  ,Broadcasting  ,Education,Graphic Design,Problem-Solving,Remote,3,5,No,Outdoor,Yes,Teacher,BEd,FAST-NUCES,
Hannah,20,Other,Matric,Active,"Analytical, Detail-Oriented, Patient",Photography,Data Analysis,Team Leadership  ,Digital Content Creation  ,Counseling,Programming,Leadership,Hybrid,5,1,No,No preference,Yes,Graphic Designer,BA Graphic Design,LUMS,
Hannah,19,Female,FSc,Moderately Active,"Practical, Curious, Creative",Design,Mathematics,Organizational Strategy  ,Journalism  ,Non-profit Work,Project Management,Adaptability,On-site,2,1,Yes,Outdoor,Yes,Mechanical Engineer,BEng Mechanical,UET Lahore,
Alice,16,Male,Matric,Moderately Active,"Adventurous, Patient, Organized",Music,Engineering,Finance  ,Public Relations  ,Education,Writing,Teamwork,Hybrid,3,3,No,No preference,No,Mechanical Engineer,BEng Mechanical,QAU Islamabad,
Hannah,19,Male,Undergraduate,Moderately Active,"Detail-Oriented, Assertive, Creative",Writing,Engineering,Marketing and Branding  ,Social Media Management  ,Social Work,Graphic Design,Teamwork,Hybrid,3,5,Yes,Indoor,Yes,Psychologist,BSc Psychology,FAST-NUCES,
Charlie,22,Male,Diploma,Sedentary,"Creative, Adventurous, Detail-Oriented",Music,Physics,Business  ,Broadcasting  ,Non-profit Work,Writing,Adaptability,Hybrid,3,2,Yes,Outdoor,Yes,Software Engineer,BSc Computer Science,COMSATS,
Alice,16,Male,FSc,Sedentary,"Curious, Empathetic, Practical",Photography,Physics,Team Leadership  ,Digital Content Creation  ,Healthcare,Data Analysis,Problem-Solving,Hybrid,2,5,No,Outdoor,No,Mechanical Engineer,BEng Mechanical,Aga Khan University,
Diana,19,Other,Diploma,Active,"Curious, Practical, Creative",Photography,Programming,Organizational Strategy  ,Journalism  ,Education,Writing,Leadership,On-site,1,3,Yes,Outdoor,Yes,Mechanical Engineer,BEng Mechanical,NUST,
Hannah,19,Female,Undergraduate,Sedentary,"Practical, Analytical, Creative",Photography,Programming,Finance  ,Public Relations  ,Social Work,Graphic Design,Communication,On-site,1,4,Yes,No preference,Yes,Social Worker,BA Social Work,COMSATS,
Charlie,17,Female,Diploma,Active,"Empathetic, Curious, Patient",Design,Data Analysis,Marketing and Branding  ,Social Media Management  ,Non-profit Work,Data Analysis,Communication,On-site,1,3,Yes,Outdoor,Yes,Photographer,Diploma Photography,FAST-NUCES,
Bob,17,Male,Matric,Active,"Organized, Creative, Practical",Music,Physics,Business  ,Broadcasting  ,Non-profit Work,Graphic Design,Adaptability,Hybrid,3,1,Yes,No preference,Yes,Software Engineer,BSc Computer Science,University of the Punjab,
Diana,19,Other,Diploma,Active,"Assertive, Organized, Empathetic",Photography,Physics,Team Leadership  ,Digital Content Creation  ,Social Work,Graphic Design,Communication,On-site,2,5,No,Indoor,Yes,Software Engineer,BSc Computer Science,QAU Islamabad,
Ivan,21,Other,Matric,Sedentary,"Analytical, Curious, Detail-Oriented",Writing,Data Analysis,Organizational Strategy  ,Journalism  ,Social Work,Project Management,Adaptability,Remote,1,4,No,No preference,Yes,Teacher,BEd,LUMS,
George,19,Other,FSc,Active,"Practical, Organized, Empathetic",Photography,Physics,Finance  ,Public Relations  ,Education,Graphic Design,Problem-Solving,On-site,2,3,No,Indoor,No,Graphic Designer,BA Graphic Design,NUST,
Hannah,20,Other,FSc,Active,"Organized, Curious, Creative",Writing,Physics,Marketing and Branding  ,Social Media Management  ,Counseling,Programming,Problem-Solving,Remote,2,3,No,Outdoor,No,Nurse,BSc Nursing,COMSATS,
Ivan,22,Female,Matric,Moderately Active,"Organized, Empathetic, Patient",Writing,Engineering,Business  ,Broadcasting  ,Social Work,Project Management,Communication,Remote,3,2,Yes,No preference,No,Journalist,BA Journalism,NUST,
George,19,Other,Diploma,Moderately Active,"Detail-Oriented, Curious, Adventurous",Photography,Programming,Team Leadership  ,Digital Content Creation  ,Non-profit Work,Graphic Design,Leadership,Remote,1,4,Yes,Outdoor,Yes,Graphic Designer,BA Graphic Design,University of the Punjab,
Ethan,22,Other,Diploma,Sedentary,"Patient, Detail-Oriented, Empathetic",Writing,Data Analysis,Organizational Strategy  ,Journalism  ,Social Work,Data Analysis,Adaptability,Remote,5,1,No,Indoor,No,Journalist,BA Journalism,GIKI,
Fiona,17,Female,Matric,Moderately Active,"Organized, Practical, Curious",Writing,Data Analysis,Finance  ,Public Relations  ,Non-profit Work,Graphic Design,Communication,Remote,2,4,No,Outdoor,Yes,Photographer,Diploma Photography,GIKI,
Alice,18,Female,Diploma,Active,"Detail-Oriented, Analytical, Creative",Writing,Programming,Marketing and Branding  ,Social Media Management  ,Education,Data Analysis,Leadership,On-site,4,3,Yes,Indoor,No,Teacher,BEd,FAST-NUCES,
Diana,21,Other,Undergraduate,Sedentary,"Practical, Patient, Empathetic",Design,Data Analysis,Business  ,Broadcasting  ,Social Work,Project Management,Problem-Solving,On-site,2,3,No,Indoor,Yes,Journalist,BA Journalism,UET Lahore,
Bob,20,Male,Matric,Sedentary,"Practical, Analytical, Organized",Music,Engineering,Team Leadership  ,Digital Content Creation  ,Social Work,Data Analysis,Adaptability,Remote,2,4,Yes,Indoor,No,Mechanical Engineer,BEng Mechanical,LUMS,
Diana,17,Female,Undergraduate,Sedentary,"Adventurous, Organized, Analytical",Design,Programming,Organizational Strategy  ,Journalism  ,Healthcare,Project Management,Adaptability,Remote,4,2,Yes,Indoor,No,Data Scientist,BSc Data Science,University of the Punjab,
Bob,21,Male,Matric,Sedentary,"Assertive, Empathetic, Creative",Writing,Physics,Finance  ,Public Relations  ,Non-profit Work,Graphic Design,Problem-Solving,Remote,4,5,Yes,Outdoor,No,Data Scientist,BSc Data Science,UET Lahore,
Fiona,17,Other,FSc,Sedentary,"Organized, Empathetic, Patient",Writing,Mathematics,Marketing and Branding  ,Social Media Management  ,Social Work,Writing,Communication,Remote,2,1,No,No preference,Yes,Photographer,Diploma Photography,COMSATS,
Fiona,21,Female,Diploma,Moderately Active,"Adventurous, Empathetic, Detail-Oriented",Writing,Engineering,Business  ,Broadcasting  ,Counseling,Programming,Leadership,On-site,4,1,No,No preference,Yes,Data Scientist,BSc Data Science,QAU Islamabad,
George,16,Female,Undergraduate,Sedentary,"Creative, Detail-Oriented, Empathetic",Design,Engineering,Team Leadership  ,Digital Content Creation  ,Education,Data Analysis,Adaptability,Hybrid,2,5,No,Indoor,No,Data Scientist,BSc Data Science,LUMS,
Ethan,16,Male,Undergraduate,Moderately Active,"Empathetic, Practical, Creative",Music,Data Analysis,Organizational Strategy  ,Journalism  ,Healthcare,Programming,Communication,Hybrid,2,2,Yes,No preference,No,Journalist,BA Journalism,University of the Punjab,
Charlie,16,Female,FSc,Moderately Active,"Creative, Assertive, Curious",Music,Data Analysis,Finance  ,Public Relations  ,Non-profit Work,Project Management,Problem-Solving,Hybrid,4,5,Yes,Outdoor,Yes,Photographer,Diploma Photography,GIKI,
Ivan,22,Other,Undergraduate,Sedentary,"Adventurous, Practical, Organized",Photography,Engineering,Marketing and Branding  ,Social Media Management  ,Non-profit Work,Project Management,Leadership,Remote,1,5,Yes,Outdoor,Yes,Social Worker,BA Social Work,LUMS,
Hannah,22,Female,Matric,Active,"Curious, Empathetic, Patient",Design,Data Analysis,Business  ,Broadcasting  ,Healthcare,Graphic Design,Problem-Solving,Remote,1,2,No,No preference,No,Psychologist,BSc Psychology,Aga Khan University,
Fiona,17,Male,Diploma,Moderately Active,"Detail-Oriented, Adventurous, Creative",Music,Programming,Team Leadership  ,Digital Content Creation  ,Counseling,Programming,Teamwork,On-site,1,1,No,Outdoor,No,Psychologist,BSc Psychology,QAU Islamabad,
Diana,19,Other,Matric,Moderately Active,"Practical, Assertive, Creative",Writing,Engineering,Organizational Strategy  ,Journalism  ,Education,Data Analysis,Adaptability,On-site,2,1,No,Outdoor,Yes,Graphic Designer,BA Graphic Design,FAST-NUCES,
Fiona,22,Female,Matric,Moderately Active,"Adventurous, Empathetic, Patient",Music,Physics,Finance  ,Public Relations  ,Counseling,Data Analysis,Communication,On-site,5,4,Yes,Indoor,No,Nurse,BSc Nursing,NUST,
Julia,22,Female,Diploma,Sedentary,"Adventurous, Empathetic, Patient",Design,Programming,Marketing and Branding  ,Social Media Management  ,Social Work,Writing,Adaptability,Remote,2,1,Yes,Outdoor,Yes,Photographer,Diploma Photography,University of the Punjab,
Bob,17,Female,Diploma,Sedentary,"Empathetic, Organized, Practical",Design,Mathematics,Business  ,Broadcasting  ,Healthcare,Graphic Design,Leadership,Remote,4,3,No,Indoor,Yes,Social Worker,BA Social Work,GIKI,
George,20,Male,FSc,Sedentary,"Patient, Assertive, Curious",Photography,Physics,Team Leadership  ,Digital Content Creation  ,Education,Project Management,Leadership,On-site,4,5,Yes,No preference,No,Social Worker,BA Social Work,IBA Karachi,
Ethan,22,Other,Undergraduate,Moderately Active,"Assertive, Practical, Curious",Photography,Data Analysis,Organizational Strategy  ,Journalism  ,Social Work,Project Management,Teamwork,Hybrid,4,3,Yes,Outdoor,Yes,Photographer,Diploma Photography,LUMS,
Charlie,18,Other,Undergraduate,Moderately Active,"Detail-Oriented, Patient, Assertive",Music,Programming,Finance  ,Public Relations  ,Counseling,Project Management,Teamwork,On-site,1,3,No,Outdoor,No,Teacher,BEd,GIKI,
Hannah,21,Other,FSc,Moderately Active,"Adventurous, Organized, Creative",Design,Physics,Marketing and Branding  ,Social Media Management  ,Social Work,Programming,Problem-Solving,Remote,4,2,Yes,Outdoor,No,Mechanical Engineer,BEng Mechanical,University of the Punjab,
Fiona,16,Other,Undergraduate,Moderately Active,"Adventurous, Curious, Creative",Design,Physics,Business  ,Broadcasting  ,Social Work,Project Management,Problem-Solving,Remote,2,5,Yes,No preference,No,Psychologist,BSc Psychology,GIKI,
Charlie,18,Male,Diploma,Moderately Active,"Analytical, Organized, Curious",Writing,Programming,Team Leadership  ,Digital Content Creation  ,Social Work,Programming,Adaptability,On-site,4,2,No,Indoor,No,Psychologist,BSc Psychology,GIKI,
Charlie,21,Female,Diploma,Sedentary,"Detail-Oriented, Practical, Adventurous",Photography,Data Analysis,Organizational Strategy  ,Journalism  ,Healthcare,Project Management,Problem-Solving,Remote,4,4,No,Indoor,Yes,Psychologist,BSc Psychology,QAU Islamabad,
Diana,22,Male,Undergraduate,Moderately Active,"Analytical, Assertive, Curious",Writing,Mathematics,Finance  ,Public Relations  ,Non-profit Work,Data Analysis,Problem-Solving,On-site,2,5,Yes,Outdoor,No,Teacher,BEd,UET Lahore,
Bob,22,Other,FSc,Active,"Empathetic, Practical, Adventurous",Writing,Programming,Marketing and Branding  ,Social Media Management  ,Education,Graphic Design,Communication,Remote,4,1,No,No preference,Yes,Social Worker,BA Social Work,QAU Islamabad,
Ivan,18,Male,Undergraduate,Active,"Empathetic, Creative, Curious",Design,Programming,Business  ,Broadcasting  ,Healthcare,Data Analysis,Adaptability,Hybrid,2,5,No,Indoor,No,Teacher,BEd,University of the Punjab,
Fiona,17,Other,Undergraduate,Active,"Organized, Practical, Empathetic",Writing,Data Analysis,Team Leadership  ,Digital Content Creation  ,Social Work,Programming,Adaptability,Hybrid,4,2,No,Outdoor,Yes,Teacher,BEd,COMSATS,
Julia,16,Male,Undergraduate,Moderately Active,"Empathetic, Patient, Practical",Writing,Mathematics,Organizational Strategy  ,Journal,Education,Data Analysis,Adaptability,On-site,2,5,Yes,No preference,Yes,Journalist,BA Journalism,GIKI,
Charlie,22,Female,Matric,Sedentary,"Creative, Adventurous, Patient",Writing,Programming,Finance  ,Journalism  ,Social Work,Graphic Design,Teamwork,On-site,3,3,Yes,Indoor,No,Photographer,Diploma Photography,NUST,
Charlie,20,Male,Diploma,Moderately Active,"Assertive, Patient, Creative",Music,Mathematics,Marketing and Branding  ,Public Relations  ,Education,Writing,Communication,Hybrid,5,1,Yes,Outdoor,Yes,Software Engineer,BSc Computer Science,FAST-NUCES,
Julia,16,Other,Matric,Active,"Assertive, Adventurous, Curious",Photography,Engineering,Business  ,Social Media Management  ,Social Work,Graphic Design,Leadership,Remote,3,5,No,Outdoor,Yes,Mechanical Engineer,BEng Mechanical,FAST-NUCES,
Julia,16,Female,FSc,Sedentary,"Patient, Assertive, Detail-Oriented",Writing,Mathematics,Team Leadership  ,Broadcasting  ,Counseling,Graphic Design,Adaptability,Remote,4,3,No,Outdoor,No,Photographer,Diploma Photography,COMSATS,
Ivan,20,Male,FSc,Sedentary,"Adventurous, Practical, Patient",Music,Programming,Organizational Strategy  ,Digital Content Creation  ,Non-profit Work,Programming,Teamwork,Remote,5,1,Yes,Indoor,No,Social Worker,BA Social Work,NUST,
George,17,Other,Diploma,Sedentary,"Creative, Detail-Oriented, Adventurous",Photography,Physics,Finance  ,Journalism  ,Social Work,Programming,Leadership,On-site,4,1,No,Outdoor,Yes,Psychologist,BSc Psychology,GIKI,
Diana,20,Male,Undergraduate,Moderately Active,"Assertive, Practical, Patient",Design,Engineering,Marketing and Branding  ,Public Relations  ,Counseling,Project Management,Problem-Solving,Hybrid,4,5,Yes,Outdoor,No,Teacher,BEd,QAU Islamabad,
Diana,17,Female,Matric,Moderately Active,"Creative, Empathetic, Patient",Design,Mathematics,Business  ,Social Media Management  ,Healthcare,Data Analysis,Teamwork,On-site,1,2,Yes,No preference,Yes,Data Scientist,BSc Data Science,COMSATS,
Julia,16,Other,Undergraduate,Active,"Patient, Empathetic, Analytical",Music,Programming,Team Leadership  ,Broadcasting  ,Counseling,Project Management,Communication,Remote,1,5,No,Outdoor,Yes,Teacher,BEd,IBA Karachi,
George,17,Other,Matric,Moderately Active,"Patient, Assertive, Creative",Music,Programming,Organizational Strategy  ,Digital Content Creation  ,Healthcare,Data Analysis,Leadership,Hybrid,4,1,Yes,Indoor,No,Nurse,BSc Nursing,FAST-NUCES,
Fiona,20,Female,FSc,Moderately Active,"Organized, Patient, Detail-Oriented",Writing,Engineering,Finance  ,Journalism  ,Non-profit Work,Writing,Leadership,Hybrid,1,1,No,Indoor,Yes,Software Engineer,BSc Computer Science,NUST,
Hannah,18,Other,Matric,Moderately Active,"Analytical, Creative, Practical",Writing,Engineering,Marketing and Branding  ,Public Relations  ,Social Work,Data Analysis,Leadership,Hybrid,2,5,Yes,No preference,No,Data Scientist,BSc Data Science,Aga Khan University,
Ethan,16,Female,Matric,Moderately Active,"Practical, Detail-Oriented, Patient",Music,Engineering,Business  ,Social Media Management  ,Non-profit Work,Writing,Leadership,On-site,3,3,Yes,No preference,No,Software Engineer,BSc Computer Science,FAST-NUCES,
Hannah,19,Female,FSc,Sedentary,"Adventurous, Patient, Detail-Oriented",Writing,Mathematics,Team Leadership  ,Broadcasting  ,Education,Writing,Communication,Remote,3,3,Yes,No preference,No,Photographer,Diploma Photography,GIKI,
Fiona,17,Other,Undergraduate,Active,"Curious, Assertive, Practical",Writing,Data Analysis,Organizational Strategy  ,Digital Content Creation  ,Healthcare,Programming,Adaptability,On-site,1,1,No,Outdoor,No,Nurse,BSc Nursing,QAU Islamabad,
Julia,20,Other,Diploma,Sedentary,"Patient, Assertive, Analytical",Music,Programming,Finance  ,Journalism  ,Social Work,Data Analysis,Adaptability,On-site,3,1,Yes,Outdoor,Yes,Data Scientist,BSc Data Science,COMSATS,
Diana,22,Other,Matric,Active,"Curious, Assertive, Organized",Design,Engineering,Marketing and Branding  ,Public Relations  ,Non-profit Work,Writing,Adaptability,On-site,1,5,No,No preference,No,Graphic Designer,BA Graphic Design,Aga Khan University,
Hannah,19,Female,FSc,Active,"Organized, Creative, Assertive",Photography,Physics,Business  ,Social Media Management  ,Counseling,Writing,Adaptability,Remote,5,3,No,No preference,Yes,Psychologist,BSc Psychology,LUMS,
Alice,20,Other,FSc,Active,"Creative, Detail-Oriented, Analytical",Photography,Physics,Team Leadership  ,Broadcasting  ,Counseling,Project Management,Teamwork,On-site,4,3,No,No preference,No,Software Engineer,BSc Computer Science,University of the Punjab,
Bob,20,Male,Undergraduate,Active,"Creative, Curious, Organized",Music,Programming,Organizational Strategy  ,Digital Content Creation  ,Education,Writing,Communication,Hybrid,3,5,No,Indoor,Yes,Graphic Designer,BA Graphic Design,NUST,
Julia,22,Female,FSc,Sedentary,"Patient, Creative, Assertive",Photography,Mathematics,Finance  ,Journalism  ,Healthcare,Programming,Leadership,On-site,2,4,No,Indoor,Yes,Mechanical Engineer,BEng Mechanical,QAU Islamabad,
Julia,17,Male,Diploma,Sedentary,"Empathetic, Organized, Analytical",Writing,Mathematics,Marketing and Branding  ,Public Relations  ,Healthcare,Writing,Communication,Hybrid,3,2,Yes,Indoor,Yes,Psychologist,BSc Psychology,COMSATS,
Ethan,17,Female,Undergraduate,Sedentary,"Analytical, Creative, Assertive",Music,Physics,Business  ,Social Media Management  ,Education,Programming,Communication,Remote,3,5,Yes,Outdoor,No,Graphic Designer,BA Graphic Design,UET Lahore,
Diana,20,Male,Undergraduate,Sedentary,"Practical, Patient, Creative",Design,Programming,Team Leadership  ,Broadcasting  ,Education,Writing,Problem-Solving,On-site,5,5,Yes,Outdoor,No,Graphic Designer,BA Graphic Design,COMSATS,
Hannah,22,Male,FSc,Sedentary,"Patient, Creative, Analytical",Music,Programming,Organizational Strategy  ,Digital Content Creation  ,Counseling,Project Management,Communication,On-site,5,3,Yes,Indoor,No,Social Worker,BA Social Work,Aga Khan University,
Alice,17,Other,Diploma,Active,"Analytical, Creative, Empathetic",Design,Engineering,Finance  ,Journalism  ,Social Work,Project Management,Leadership,Remote,3,4,Yes,Indoor,No,Graphic Designer,BA Graphic Design,UET Lahore,
Bob,18,Male,Matric,Active,"Analytical, Organized, Assertive",Writing,Programming,Marketing and Branding  ,Public Relations  ,Non-profit Work,Data Analysis,Teamwork,On-site,3,3,No,Indoor,Yes,Social Worker,BA Social Work,University of the Punjab,
Ivan,21,Female,Diploma,Moderately Active,"Assertive, Patient, Empathetic",Photography,Mathematics,Business  ,Social Media Management  ,Education,Writing,Adaptability,On-site,1,3,No,Outdoor,Yes,Software Engineer,BSc Computer Science,NUST,
Bob,17,Male,Matric,Active,"Assertive, Practical, Adventurous",Design,Mathematics,Team Leadership  ,Broadcasting  ,Education,Project Management,Teamwork,Hybrid,4,3,Yes,Outdoor,No,Photographer,Diploma Photography,FAST-NUCES,
George,22,Female,Undergraduate,Sedentary,"Empathetic, Detail-Oriented, Analytical",Design,Programming,Organizational Strategy  ,Digital Content Creation  ,Social Work,Data Analysis,Problem-Solving,On-site,3,2,No,No preference,Yes,Teacher,BEd,FAST-NUCES,
Alice,20,Other,Diploma,Moderately Active,"Detail-Oriented, Curious, Adventurous",Writing,Programming,Finance  ,Journalism  ,Social Work,Data Analysis,Teamwork,On-site,2,4,No,Outdoor,Yes,Nurse,BSc Nursing,LUMS,
Ethan,22,Female,Diploma,Sedentary,"Curious, Organized, Creative",Photography,Engineering,Marketing and Branding  ,Public Relations  ,Social Work,Data Analysis,Adaptability,Hybrid,3,1,Yes,Outdoor,Yes,Nurse,BSc Nursing,NUST,
Ivan,16,Other,FSc,Moderately Active,"Analytical, Curious, Organized",Music,Data Analysis,Business  ,Social Media Management  ,Social Work,Graphic Design,Teamwork,Remote,3,4,No,No preference,Yes,Software Engineer,BSc Computer Science,Aga Khan University,
Bob,19,Male,Diploma,Moderately Active,"Practical, Analytical, Creative",Music,Engineering,Team Leadership  ,Broadcasting  ,Social Work,Graphic Design,Teamwork,Hybrid,1,5,Yes,Indoor,Yes,Journalist,BA Journalism,LUMS,
Diana,17,Male,Diploma,Active,"Curious, Assertive, Adventurous",Writing,Mathematics,Organizational Strategy  ,Digital Content Creation  ,Healthcare,Writing,Adaptability,Remote,5,3,Yes,Outdoor,Yes,Mechanical Engineer,BEng Mechanical,UET Lahore,
Bob,20,Male,Diploma,Sedentary,"Patient, Analytical, Practical",Writing,Physics,Finance  ,Journalism  ,Healthcare,Graphic Design,Communication,Remote,4,4,No,Indoor,Yes,Nurse,BSc Nursing,FAST-NUCES,
Bob,22,Male,Matric,Active,"Empathetic, Adventurous, Analytical",Photography,Engineering,Marketing and Branding  ,Public Relations  ,Education,Data Analysis,Leadership,On-site,4,4,Yes,No preference,No,Data Scientist,BSc Data Science,COMSATS,
Charlie,16,Other,FSc,Moderately Active,"Detail-Oriented, Organized, Patient",Design,Data Analysis,Business  ,Social Media Management  ,Education,Programming,Communication,On-site,4,2,No,Outdoor,No,Journalist,BA Journalism,GIKI,
Julia,21,Female,Matric,Active,"Adventurous, Organized, Practical",Writing,Engineering,Team Leadership  ,Broadcasting  ,Education,Graphic Design,Problem-Solving,On-site,3,2,No,No preference,No,Software Engineer,BSc Computer Science,LUMS,
Hannah,16,Female,FSc,Sedentary,"Adventurous, Detail-Oriented, Curious",Music,Programming,Organizational Strategy  ,Digital Content Creation  ,Counseling,Graphic Design,Communication,Hybrid,1,2,Yes,Outdoor,No,Photographer,Diploma Photography,FAST-NUCES,
Charlie,20,Female,Diploma,Sedentary,"Curious, Practical, Assertive",Photography,Data Analysis,Finance  ,Journalism  ,Healthcare,Graphic Design,Adaptability,Hybrid,3,1,No,No preference,No,Mechanical Engineer,BEng Mechanical,University of the Punjab,
Charlie,17,Female,FSc,Moderately Active,"Assertive, Adventurous, Detail-Oriented",Photography,Physics,Marketing and Branding  ,Public Relations  ,Education,Writing,Adaptability,Hybrid,1,2,No,Outdoor,No,Photographer,Diploma Photography,University of the Punjab,
Charlie,19,Male,Diploma,Moderately Active,"Analytical, Practical, Patient",Photography,Programming,Business  ,Social Media Management  ,Non-profit Work,Project Management,Adaptability,Hybrid,1,5,No,Outdoor,Yes,Nurse,BSc Nursing,QAU Islamabad,
Alice,19,Other,FSc,Sedentary,"Assertive, Organized, Empathetic",Photography,Data Analysis,Team Leadership  ,Broadcasting  ,Healthcare,Programming,Teamwork,Remote,5,2,No,Indoor,No,Nurse,BSc Nursing,UET Lahore,
Diana,22,Male,Undergraduate,Sedentary,"Assertive, Empathetic, Adventurous",Photography,Mathematics,Organizational Strategy  ,Digital Content Creation  ,Healthcare,Data Analysis,Leadership,Hybrid,3,5,Yes,No preference,Yes,Graphic Designer,BA Graphic Design,IBA Karachi,
Fiona,16,Male,FSc,Moderately Active,"Assertive, Practical, Organized",Writing,Engineering,Finance  ,Journalism  ,Healthcare,Data Analysis,Adaptability,Remote,2,1,No,Indoor,No,Graphic Designer,BA Graphic Design,UET Lahore,
George,17,Female,FSc,Sedentary,"Creative, Adventurous, Empathetic",Photography,Programming,Marketing and Branding  ,Public Relations  ,Social Work,Data Analysis,Teamwork,Hybrid,3,1,No,No preference,No,Software Engineer,BSc Computer Science,QAU Islamabad,
Julia,20,Male,Matric,Active,"Organized, Creative, Empathetic",Design,Mathematics,Business  ,Social Media Management  ,Non-profit Work,Programming,Problem-Solving,Hybrid,5,4,No,Indoor,No,Software Engineer,BSc Computer Science,GIKI,
Alice,19,Female,FSc,Active,"Creative, Empathetic, Curious",Photography,Engineering,Team Leadership  ,Broadcasting  ,Healthcare,Writing,Communication,Hybrid,1,3,No,Indoor,No,Journalist,BA Journalism,QAU Islamabad,
Alice,19,Other,Matric,Active,"Empathetic, Detail-Oriented, Organized",Photography,Data Analysis,Organizational Strategy  ,Digital Content Creation  ,Counseling,Data Analysis,Leadership,On-site,3,4,Yes,Indoor,No,Journalist,BA Journalism,IBA Karachi,
Fiona,18,Male,Undergraduate,Sedentary,"Patient, Curious, Practical",Photography,Physics,Finance  ,Journalism  ,Education,Writing,Adaptability,Hybrid,3,3,Yes,Outdoor,No,Teacher,BEd,IBA Karachi,
Fiona,16,Other,FSc,Active,"Patient, Adventurous, Empathetic",Photography,Engineering,Marketing and Branding  ,Public Relations  ,Education,Project Management,Teamwork,Hybrid,3,5,Yes,No preference,Yes,Photographer,Diploma Photography,University of the Punjab,
Julia,18,Female,Undergraduate,Moderately Active,"Creative, Assertive, Adventurous",Photography,Data Analysis,Business  ,Social Media Management  ,Education,Graphic Design,Communication,On-site,5,2,Yes,Outdoor,Yes,Photographer,Diploma Photography,LUMS,
Diana,16,Other,Diploma,Active,"Empathetic, Curious, Practical",Writing,Data Analysis,Team Leadership  ,Broadcasting  ,Healthcare,Project Management,Communication,Remote,5,3,No,Indoor,No,Mechanical Engineer,BEng Mechanical,NUST,
Ivan,22,Male,FSc,Moderately Active,"Adventurous, Creative, Detail-Oriented",Photography,Physics,Organizational Strategy  ,Digital Content Creation  ,Healthcare,Project Management,Teamwork,On-site,5,2,No,Indoor,No,Mechanical Engineer,BEng Mechanical,GIKI,
Ivan,21,Other,Matric,Moderately Active,"Assertive, Practical, Adventurous",Music,Physics,Finance  ,Journalism  ,Healthcare,Writing,Problem-Solving,Hybrid,4,3,Yes,No preference,No,Social Worker,BA Social Work,FAST-NUCES,
Bob,17,Female,Undergraduate,Moderately Active,"Curious, Patient, Assertive",Design,Physics,Marketing and Branding  ,Public Relations  ,Education,Graphic Design,Communication,Hybrid,4,3,No,Indoor,Yes,Mechanical Engineer,BEng Mechanical,IBA Karachi,
Fiona,19,Other,Diploma,Sedentary,"Creative, Curious, Assertive",Music,Physics,Business  ,Social Media Management  ,Social Work,Graphic Design,Communication,On-site,1,3,Yes,Indoor,Yes,Psychologist,BSc Psychology,FAST-NUCES,
Fiona,19,Other,Diploma,Active,"Detail-Oriented, Empathetic, Curious",Writing,Mathematics,Team Leadership  ,Broadcasting  ,Counseling,Programming,Leadership,On-site,1,4,No,Indoor,No,Psychologist,BSc Psychology,GIKI,
Ethan,20,Other,Matric,Active,"Analytical, Adventurous, Creative",Music,Engineering,Organizational Strategy  ,Digital Content Creation  ,Healthcare,Project Management,Communication,On-site,3,4,Yes,Outdoor,No,Data Scientist,BSc Data Science,LUMS,
Julia,16,Female,FSc,Moderately Active,"Patient, Empathetic, Organized",Writing,Data Analysis,Finance  ,Journalism  ,Healthcare,Data Analysis,Leadership,Remote,4,2,Yes,No preference,No,Teacher,BEd,University of the Punjab,
Diana,21,Other,Matric,Sedentary,"Creative, Curious, Analytical",Photography,Physics,Marketing and Branding  ,Public Relations  ,Healthcare,Project Management,Leadership,Hybrid,5,1,Yes,Indoor,No,Data Scientist,BSc Data Science,COMSATS,
Ethan,18,Male,Matric,Sedentary,"Organized, Curious, Detail-Oriented",Photography,Data Analysis,Business  ,Social Media Management  ,Social Work,Programming,Communication,Hybrid,3,1,No,No preference,No,Nurse,BSc Nursing,University of the Punjab,
Ethan,22,Male,Undergraduate,Moderately Active,"Empathetic, Curious, Assertive",Design,Engineering,Team Leadership  ,Broadcasting  ,Education,Graphic Design,Communication,Hybrid,4,1,No,No preference,No,Software Engineer,BSc Computer Science,COMSATS,
